[2025-11-28T23:05:40.613Z] [info] 2025-11-28T23:05:40.613Z | INFO : Navigating to route name: SupportRequest | raw: ["Navigating to route name: SupportRequest"]
[2025-11-28T23:05:40.599Z] [debug] 2025-11-28T23:05:40.599Z | DEBUG : [Navigation] Current route name: SupportRequest | raw: ["[Navigation] Current route name:","SupportRequest"]
[2025-11-28T23:05:40.583Z] [debug] 2025-11-28T23:05:40.583Z | DEBUG : [Navigation] Previous route name: FeedbackAndSupport | raw: ["[Navigation] Previous route name:","FeedbackAndSupport"]
[2025-11-28T23:05:39.638Z] [info] 2025-11-28T23:05:39.638Z | INFO : Navigating to route name: FeedbackAndSupport | raw: ["Navigating to route name: FeedbackAndSupport"]
[2025-11-28T23:05:39.620Z] [debug] 2025-11-28T23:05:39.620Z | DEBUG : [Navigation] Current route name: FeedbackAndSupport | raw: ["[Navigation] Current route name:","FeedbackAndSupport"]
[2025-11-28T23:05:39.606Z] [debug] 2025-11-28T23:05:39.606Z | DEBUG : [Navigation] Previous route name: Settings | raw: ["[Navigation] Previous route name:","Settings"]
[2025-11-28T23:05:37.254Z] [debug] 2025-11-28T23:05:37.254Z | DEBUG : [Database] Finished retrieving all records in Tombstone table | raw: ["[Database] Finished retrieving all records in Tombstone table"]
[2025-11-28T23:05:37.251Z] [debug] 2025-11-28T23:05:37.251Z | DEBUG : [Database] Retrieving all records in Tombstone table: 0 records found | raw: ["[Database] Retrieving all records in Tombstone table: 0 records found"]
[2025-11-28T23:05:37.211Z] [info] 2025-11-28T23:05:37.211Z | INFO : Navigating to route name: Settings | raw: ["Navigating to route name: Settings"]
[2025-11-28T23:05:37.207Z] [debug] 2025-11-28T23:05:37.207Z | DEBUG : [Navigation] Current route name: Settings | raw: ["[Navigation] Current route name:","Settings"]
[2025-11-28T23:05:37.204Z] [debug] 2025-11-28T23:05:37.204Z | DEBUG : [Navigation] Previous route name: SettingsStack | raw: ["[Navigation] Previous route name:","SettingsStack"]
[2025-11-28T23:05:37.175Z] [debug] 2025-11-28T23:05:37.175Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
[2025-11-28T23:05:37.172Z] [debug] 2025-11-28T23:05:37.172Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found"]
[2025-11-28T23:05:37.168Z] [debug] 2025-11-28T23:05:37.168Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-28T23:05:37.166Z] [debug] 2025-11-28T23:05:37.166Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-28T23:05:37.163Z] [debug] 2025-11-28T23:05:37.163Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-28T23:05:37.159Z] [debug] 2025-11-28T23:05:37.159Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-28T23:05:37.155Z] [debug] 2025-11-28T23:05:37.155Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-28T23:05:37.148Z] [debug] 2025-11-28T23:05:37.148Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-28T23:05:37.140Z] [debug] 2025-11-28T23:05:37.140Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-28T23:05:37.135Z] [debug] 2025-11-28T23:05:37.135Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-28T23:05:37.129Z] [debug] 2025-11-28T23:05:37.129Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-28T23:05:37.112Z] [debug] 2025-11-28T23:05:37.112Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-28T23:05:37.108Z] [debug] 2025-11-28T23:05:37.108Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-28T23:05:37.104Z] [debug] 2025-11-28T23:05:37.104Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-28T23:05:37.089Z] [debug] 2025-11-28T23:05:37.089Z | DEBUG : [DataManagementProvider] Changing Drive Type to none | raw: ["[DataManagementProvider] Changing Drive Type to none"]
[2025-11-28T23:05:37.083Z] [debug] 2025-11-28T23:05:37.083Z | DEBUG : [DataManagementProvider] Changing Drive Type to none | raw: ["[DataManagementProvider] Changing Drive Type to none"]
[2025-11-28T23:05:37.000Z] [warn] 2025-11-28T23:05:37.000Z | WARN : No file selection resolver available | raw: ["No file selection resolver available"]
[2025-11-28T23:05:36.996Z] [warn] 2025-11-28T23:05:36.996Z | WARN : No modal visible | raw: ["No modal visible"]
[2025-11-28T23:05:36.980Z] [debug] 2025-11-28T23:05:36.980Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-28T23:05:36.976Z] [debug] 2025-11-28T23:05:36.976Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-28T23:05:36.968Z] [debug] 2025-11-28T23:05:36.968Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-28T23:05:36.963Z] [debug] 2025-11-28T23:05:36.963Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-28T23:05:36.958Z] [debug] 2025-11-28T23:05:36.958Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-28T23:05:36.955Z] [debug] 2025-11-28T23:05:36.955Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-28T23:05:36.946Z] [debug] 2025-11-28T23:05:36.946Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
[2025-11-28T23:05:36.937Z] [debug] 2025-11-28T23:05:36.937Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found"]
[2025-11-28T23:05:36.909Z] [debug] 2025-11-28T23:05:36.909Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
