[2025-11-29T00:59:56.215Z] [info] 2025-11-29T00:59:56.215Z | INFO : Navigating to route name: SupportRequest | raw: ["Navigating to route name: SupportRequest"]
[2025-11-29T00:59:56.206Z] [debug] 2025-11-29T00:59:56.206Z | DEBUG : [Navigation] Current route name: SupportRequest | raw: ["[Navigation] Current route name:","SupportRequest"]
[2025-11-29T00:59:56.141Z] [debug] 2025-11-29T00:59:56.141Z | DEBUG : [Navigation] Previous route name: FeedbackAndSupport | raw: ["[Navigation] Previous route name:","FeedbackAndSupport"]
[2025-11-29T00:59:54.575Z] [info] 2025-11-29T00:59:54.575Z | INFO : Navigating to route name: FeedbackAndSupport | raw: ["Navigating to route name: FeedbackAndSupport"]
[2025-11-29T00:59:54.563Z] [debug] 2025-11-29T00:59:54.563Z | DEBUG : [Navigation] Current route name: FeedbackAndSupport | raw: ["[Navigation] Current route name:","FeedbackAndSupport"]
[2025-11-29T00:59:54.539Z] [debug] 2025-11-29T00:59:54.539Z | DEBUG : [Navigation] Previous route name: Settings | raw: ["[Navigation] Previous route name:","Settings"]
[2025-11-29T00:59:52.582Z] [info] 2025-11-29T00:59:52.582Z | INFO : Navigating to route name: Settings | raw: ["Navigating to route name: Settings"]
[2025-11-29T00:59:52.576Z] [debug] 2025-11-29T00:59:52.576Z | DEBUG : [Navigation] Current route name: Settings | raw: ["[Navigation] Current route name:","Settings"]
[2025-11-29T00:59:52.559Z] [debug] 2025-11-29T00:59:52.559Z | DEBUG : [Navigation] Previous route name: SettingsStack | raw: ["[Navigation] Previous route name:","SettingsStack"]
[2025-11-29T00:59:52.522Z] [debug] 2025-11-29T00:59:52.522Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
[2025-11-29T00:59:52.502Z] [debug] 2025-11-29T00:59:52.502Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found"]
[2025-11-29T00:59:52.497Z] [debug] 2025-11-29T00:59:52.497Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T00:59:52.492Z] [debug] 2025-11-29T00:59:52.492Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T00:59:52.481Z] [debug] 2025-11-29T00:59:52.481Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T00:59:52.475Z] [debug] 2025-11-29T00:59:52.475Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
