[2025-11-29T01:19:18.012Z] [info] 2025-11-29T01:19:18.012Z | INFO : Navigating to route name: SupportRequest | raw: ["Navigating to route name: SupportRequest"]
[2025-11-29T01:19:18.004Z] [debug] 2025-11-29T01:19:18.004Z | DEBUG : [Navigation] Current route name: SupportRequest | raw: ["[Navigation] Current route name:","SupportRequest"]
[2025-11-29T01:19:17.976Z] [debug] 2025-11-29T01:19:17.976Z | DEBUG : [Navigation] Previous route name: FeedbackAndSupport | raw: ["[Navigation] Previous route name:","FeedbackAndSupport"]
[2025-11-29T01:19:16.850Z] [info] 2025-11-29T01:19:16.849Z | INFO : Navigating to route name: FeedbackAndSupport | raw: ["Navigating to route name: FeedbackAndSupport"]
[2025-11-29T01:19:16.840Z] [debug] 2025-11-29T01:19:16.840Z | DEBUG : [Navigation] Current route name: FeedbackAndSupport | raw: ["[Navigation] Current route name:","FeedbackAndSupport"]
[2025-11-29T01:19:16.777Z] [debug] 2025-11-29T01:19:16.777Z | DEBUG : [Navigation] Previous route name: Settings | raw: ["[Navigation] Previous route name:","Settings"]
[2025-11-29T01:19:14.173Z] [info] 2025-11-29T01:19:14.173Z | INFO : Navigating to route name: Settings | raw: ["Navigating to route name: Settings"]
[2025-11-29T01:19:14.157Z] [debug] 2025-11-29T01:19:14.157Z | DEBUG : [Navigation] Current route name: Settings | raw: ["[Navigation] Current route name:","Settings"]
[2025-11-29T01:19:14.136Z] [debug] 2025-11-29T01:19:14.136Z | DEBUG : [Navigation] Previous route name: SettingsStack | raw: ["[Navigation] Previous route name:","SettingsStack"]
[2025-11-29T01:19:14.105Z] [debug] 2025-11-29T01:19:14.105Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
[2025-11-29T01:19:14.099Z] [debug] 2025-11-29T01:19:14.099Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found"]
[2025-11-29T01:19:14.077Z] [debug] 2025-11-29T01:19:14.077Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T01:19:14.037Z] [debug] 2025-11-29T01:19:14.037Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T01:19:14.025Z] [debug] 2025-11-29T01:19:14.025Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T01:19:14.019Z] [debug] 2025-11-29T01:19:14.019Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-29T01:19:13.951Z] [debug] 2025-11-29T01:19:13.951Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
