[2025-11-29T02:28:07.220Z] [info] 2025-11-29T02:28:07.220Z | INFO : Navigating to route name: SupportRequest | raw: ["Navigating to route name: SupportRequest"]
[2025-11-29T02:28:07.195Z] [debug] 2025-11-29T02:28:07.195Z | DEBUG : [Navigation] Current route name: SupportRequest | raw: ["[Navigation] Current route name:","SupportRequest"]
[2025-11-29T02:28:07.164Z] [debug] 2025-11-29T02:28:07.164Z | DEBUG : [Navigation] Previous route name: FeedbackAndSupport | raw: ["[Navigation] Previous route name:","FeedbackAndSupport"]
[2025-11-29T02:28:05.930Z] [info] 2025-11-29T02:28:05.930Z | INFO : Navigating to route name: FeedbackAndSupport | raw: ["Navigating to route name: FeedbackAndSupport"]
[2025-11-29T02:28:05.917Z] [debug] 2025-11-29T02:28:05.916Z | DEBUG : [Navigation] Current route name: FeedbackAndSupport | raw: ["[Navigation] Current route name:","FeedbackAndSupport"]
[2025-11-29T02:28:05.869Z] [debug] 2025-11-29T02:28:05.869Z | DEBUG : [Navigation] Previous route name: Settings | raw: ["[Navigation] Previous route name:","Settings"]
[2025-11-29T02:00:38.596Z] [info] 2025-11-29T02:00:38.596Z | INFO : Navigating to route name: Settings | raw: ["Navigating to route name: Settings"]
[2025-11-29T02:00:38.592Z] [debug] 2025-11-29T02:00:38.592Z | DEBUG : [Navigation] Current route name: Settings | raw: ["[Navigation] Current route name:","Settings"]
[2025-11-29T02:00:38.575Z] [debug] 2025-11-29T02:00:38.575Z | DEBUG : [Navigation] Previous route name: SettingsStack | raw: ["[Navigation] Previous route name:","SettingsStack"]
[2025-11-29T02:00:38.548Z] [debug] 2025-11-29T02:00:38.548Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
[2025-11-29T02:00:38.543Z] [debug] 2025-11-29T02:00:38.543Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found"]
[2025-11-29T02:00:38.538Z] [debug] 2025-11-29T02:00:38.538Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T02:00:38.534Z] [debug] 2025-11-29T02:00:38.534Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T02:00:38.527Z] [debug] 2025-11-29T02:00:38.527Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T02:00:38.515Z] [debug] 2025-11-29T02:00:38.515Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-29T02:00:38.499Z] [debug] 2025-11-29T02:00:38.499Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-29T02:00:38.487Z] [debug] 2025-11-29T02:00:38.487Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-29T02:00:38.483Z] [debug] 2025-11-29T02:00:38.483Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T02:00:38.480Z] [debug] 2025-11-29T02:00:38.480Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T02:00:38.474Z] [debug] 2025-11-29T02:00:38.474Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T02:00:38.470Z] [debug] 2025-11-29T02:00:38.469Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-29T02:00:38.460Z] [debug] 2025-11-29T02:00:38.460Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-29T02:00:38.422Z] [debug] 2025-11-29T02:00:38.422Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-29T02:00:38.383Z] [debug] 2025-11-29T02:00:38.383Z | DEBUG : [DataManagementProvider] Changing Drive Type to none | raw: ["[DataManagementProvider] Changing Drive Type to none"]
[2025-11-29T02:00:38.330Z] [debug] 2025-11-29T02:00:38.330Z | DEBUG : [DataManagementProvider] Changing Drive Type to none | raw: ["[DataManagementProvider] Changing Drive Type to none"]
[2025-11-29T02:00:38.245Z] [warn] 2025-11-29T02:00:38.245Z | WARN : No file selection resolver available | raw: ["No file selection resolver available"]
[2025-11-29T02:00:38.222Z] [warn] 2025-11-29T02:00:38.222Z | WARN : No modal visible | raw: ["No modal visible"]
[2025-11-29T02:00:38.195Z] [debug] 2025-11-29T02:00:38.195Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-29T02:00:38.140Z] [debug] 2025-11-29T02:00:38.140Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-29T02:00:38.098Z] [debug] 2025-11-29T02:00:38.098Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T02:00:38.086Z] [debug] 2025-11-29T02:00:38.086Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T02:00:38.022Z] [debug] 2025-11-29T02:00:38.022Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T02:00:37.997Z] [debug] 2025-11-29T02:00:37.997Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-29T02:00:37.955Z] [debug] 2025-11-29T02:00:37.955Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
[2025-11-29T02:00:37.920Z] [debug] 2025-11-29T02:00:37.920Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found"]
[2025-11-29T02:00:37.890Z] [debug] 2025-11-29T02:00:37.890Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T02:00:37.863Z] [debug] 2025-11-29T02:00:37.863Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T02:00:37.794Z] [debug] 2025-11-29T02:00:37.793Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T02:00:37.734Z] [debug] 2025-11-29T02:00:37.734Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-29T02:00:37.662Z] [debug] 2025-11-29T02:00:37.661Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-29T02:00:37.611Z] [debug] 2025-11-29T02:00:37.611Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-29T02:00:37.560Z] [debug] 2025-11-29T02:00:37.560Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T02:00:37.479Z] [debug] 2025-11-29T02:00:37.479Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T02:00:37.364Z] [debug] 2025-11-29T02:00:37.364Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T02:00:37.314Z] [debug] 2025-11-29T02:00:37.314Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-29T02:00:37.218Z] [debug] 2025-11-29T02:00:37.218Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-29T02:00:37.122Z] [debug] 2025-11-29T02:00:37.122Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-29T02:00:37.035Z] [info] 2025-11-29T02:00:37.035Z | INFO : Navigating to route name: SettingsStack | raw: ["Navigating to route name: SettingsStack"]
[2025-11-29T02:00:36.914Z] [debug] 2025-11-29T02:00:36.914Z | DEBUG : [Navigation] Current route name: SettingsStack | raw: ["[Navigation] Current route name:","SettingsStack"]
[2025-11-29T02:00:36.820Z] [debug] 2025-11-29T02:00:36.820Z | DEBUG : [Navigation] Previous route name: Calendar | raw: ["[Navigation] Previous route name:","Calendar"]
[2025-11-29T02:00:35.487Z] [debug] 2025-11-29T02:00:35.487Z | DEBUG : [Database] Finished retrieving all records in Tombstone table | raw: ["[Database] Finished retrieving all records in Tombstone table"]
[2025-11-29T02:00:35.446Z] [debug] 2025-11-29T02:00:35.446Z | DEBUG : [Database] Retrieving all records in Tombstone table: 0 records found | raw: ["[Database] Retrieving all records in Tombstone table: 0 records found"]
[2025-11-29T02:00:35.356Z] [debug] 2025-11-29T02:00:35.356Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
[2025-11-29T02:00:35.339Z] [debug] 2025-11-29T02:00:35.339Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found"]
[2025-11-29T02:00:35.333Z] [debug] 2025-11-29T02:00:35.333Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T02:00:35.329Z] [debug] 2025-11-29T02:00:35.329Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T02:00:35.322Z] [debug] 2025-11-29T02:00:35.322Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T02:00:35.318Z] [debug] 2025-11-29T02:00:35.318Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-29T02:00:35.310Z] [debug] 2025-11-29T02:00:35.310Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-29T02:00:35.294Z] [debug] 2025-11-29T02:00:35.294Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-29T02:00:35.288Z] [debug] 2025-11-29T02:00:35.288Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T02:00:35.269Z] [debug] 2025-11-29T02:00:35.269Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T02:00:35.257Z] [debug] 2025-11-29T02:00:35.257Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T02:00:35.252Z] [debug] 2025-11-29T02:00:35.252Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-29T02:00:35.245Z] [debug] 2025-11-29T02:00:35.245Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-29T02:00:35.240Z] [debug] 2025-11-29T02:00:35.240Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-29T02:00:35.209Z] [debug] 2025-11-29T02:00:35.209Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-29T02:00:35.203Z] [debug] 2025-11-29T02:00:35.203Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-29T02:00:35.193Z] [debug] 2025-11-29T02:00:35.193Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T02:00:35.187Z] [debug] 2025-11-29T02:00:35.187Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T02:00:35.182Z] [debug] 2025-11-29T02:00:35.182Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T02:00:35.172Z] [debug] 2025-11-29T02:00:35.172Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-29T02:00:35.167Z] [debug] 2025-11-29T02:00:35.167Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
[2025-11-29T02:00:35.162Z] [debug] 2025-11-29T02:00:35.162Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found"]
[2025-11-29T02:00:35.144Z] [debug] 2025-11-29T02:00:35.144Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T02:00:35.133Z] [debug] 2025-11-29T02:00:35.133Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T02:00:35.128Z] [debug] 2025-11-29T02:00:35.128Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T02:00:35.123Z] [debug] 2025-11-29T02:00:35.123Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-29T02:00:35.118Z] [debug] 2025-11-29T02:00:35.118Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-29T02:00:35.100Z] [debug] 2025-11-29T02:00:35.100Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-29T02:00:35.094Z] [debug] 2025-11-29T02:00:35.094Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T02:00:35.088Z] [debug] 2025-11-29T02:00:35.088Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T02:00:35.082Z] [debug] 2025-11-29T02:00:35.082Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T02:00:35.074Z] [debug] 2025-11-29T02:00:35.074Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-29T02:00:35.067Z] [debug] 2025-11-29T02:00:35.067Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-29T02:00:35.057Z] [debug] 2025-11-29T02:00:35.057Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-29T02:00:35.005Z] [debug] 2025-11-29T02:00:35.005Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-29T02:00:35.000Z] [debug] 2025-11-29T02:00:35.000Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-29T02:00:34.992Z] [debug] 2025-11-29T02:00:34.992Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T02:00:34.988Z] [debug] 2025-11-29T02:00:34.988Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T02:00:34.973Z] [debug] 2025-11-29T02:00:34.973Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T02:00:34.970Z] [debug] 2025-11-29T02:00:34.970Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-29T02:00:34.963Z] [debug] 2025-11-29T02:00:34.963Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
