[2025-11-29T03:18:01.273Z] [info] 2025-11-29T03:18:01.273Z | INFO : Navigating to route name: SupportRequest | raw: ["Navigating to route name: SupportRequest"]
[2025-11-29T03:18:01.212Z] [debug] 2025-11-29T03:18:01.212Z | DEBUG : [Navigation] Current route name: SupportRequest | raw: ["[Navigation] Current route name:","SupportRequest"]
[2025-11-29T03:18:01.168Z] [debug] 2025-11-29T03:18:01.161Z | DEBUG : [Navigation] Previous route name: FeedbackAndSupport | raw: ["[Navigation] Previous route name:","FeedbackAndSupport"]
[2025-11-29T03:18:00.065Z] [info] 2025-11-29T03:18:00.065Z | INFO : Navigating to route name: FeedbackAndSupport | raw: ["Navigating to route name: FeedbackAndSupport"]
[2025-11-29T03:17:59.981Z] [debug] 2025-11-29T03:17:59.981Z | DEBUG : [Navigation] Current route name: FeedbackAndSupport | raw: ["[Navigation] Current route name:","FeedbackAndSupport"]
[2025-11-29T03:17:59.895Z] [debug] 2025-11-29T03:17:59.895Z | DEBUG : [Navigation] Previous route name: Settings | raw: ["[Navigation] Previous route name:","Settings"]
[2025-11-29T03:17:56.963Z] [info] 2025-11-29T03:17:56.963Z | INFO : Navigating to route name: Settings | raw: ["Navigating to route name: Settings"]
[2025-11-29T03:17:56.954Z] [debug] 2025-11-29T03:17:56.954Z | DEBUG : [Navigation] Current route name: Settings | raw: ["[Navigation] Current route name:","Settings"]
[2025-11-29T03:17:56.931Z] [debug] 2025-11-29T03:17:56.931Z | DEBUG : [Navigation] Previous route name: SettingsStack | raw: ["[Navigation] Previous route name:","SettingsStack"]
[2025-11-29T03:17:56.877Z] [debug] 2025-11-29T03:17:56.877Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
[2025-11-29T03:17:56.868Z] [debug] 2025-11-29T03:17:56.868Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found"]
[2025-11-29T03:17:56.859Z] [debug] 2025-11-29T03:17:56.859Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T03:17:56.852Z] [debug] 2025-11-29T03:17:56.852Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T03:17:56.842Z] [debug] 2025-11-29T03:17:56.842Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T03:17:56.836Z] [debug] 2025-11-29T03:17:56.835Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-29T03:17:56.814Z] [debug] 2025-11-29T03:17:56.814Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-29T03:17:56.807Z] [debug] 2025-11-29T03:17:56.807Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-29T03:17:56.799Z] [debug] 2025-11-29T03:17:56.799Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T03:17:56.785Z] [debug] 2025-11-29T03:17:56.785Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T03:17:56.742Z] [debug] 2025-11-29T03:17:56.741Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T03:17:56.647Z] [debug] 2025-11-29T03:17:56.647Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-29T03:17:56.585Z] [debug] 2025-11-29T03:17:56.585Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-29T03:17:56.563Z] [debug] 2025-11-29T03:17:56.563Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-29T03:17:56.538Z] [debug] 2025-11-29T03:17:56.538Z | DEBUG : [DataManagementProvider] Changing Drive Type to none | raw: ["[DataManagementProvider] Changing Drive Type to none"]
[2025-11-29T03:17:56.501Z] [debug] 2025-11-29T03:17:56.501Z | DEBUG : [DataManagementProvider] Changing Drive Type to none | raw: ["[DataManagementProvider] Changing Drive Type to none"]
[2025-11-29T03:17:56.359Z] [warn] 2025-11-29T03:17:56.359Z | WARN : No file selection resolver available | raw: ["No file selection resolver available"]
[2025-11-29T03:17:56.343Z] [warn] 2025-11-29T03:17:56.343Z | WARN : No modal visible | raw: ["No modal visible"]
[2025-11-29T03:17:56.306Z] [debug] 2025-11-29T03:17:56.306Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-29T03:17:56.242Z] [debug] 2025-11-29T03:17:56.242Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-29T03:17:56.183Z] [debug] 2025-11-29T03:17:56.183Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T03:17:56.118Z] [debug] 2025-11-29T03:17:56.118Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T03:17:56.084Z] [debug] 2025-11-29T03:17:56.084Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T03:17:56.029Z] [debug] 2025-11-29T03:17:56.029Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-29T03:17:55.992Z] [debug] 2025-11-29T03:17:55.992Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
[2025-11-29T03:17:55.968Z] [debug] 2025-11-29T03:17:55.968Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found"]
[2025-11-29T03:17:55.924Z] [debug] 2025-11-29T03:17:55.924Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T03:17:55.909Z] [debug] 2025-11-29T03:17:55.909Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T03:17:55.786Z] [debug] 2025-11-29T03:17:55.786Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T03:17:55.725Z] [debug] 2025-11-29T03:17:55.725Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-29T03:17:55.663Z] [debug] 2025-11-29T03:17:55.663Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-29T03:17:55.617Z] [debug] 2025-11-29T03:17:55.617Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-29T03:17:55.565Z] [debug] 2025-11-29T03:17:55.565Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-29T03:17:55.500Z] [debug] 2025-11-29T03:17:55.500Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-29T03:17:55.432Z] [debug] 2025-11-29T03:17:55.432Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-29T03:17:55.408Z] [debug] 2025-11-29T03:17:55.408Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-29T03:17:55.298Z] [debug] 2025-11-29T03:17:55.298Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-29T03:17:55.231Z] [debug] 2025-11-29T03:17:55.231Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-29T03:17:55.176Z] [info] 2025-11-29T03:17:55.176Z | INFO : Navigating to route name: SettingsStack | raw: ["Navigating to route name: SettingsStack"]
[2025-11-29T03:17:55.105Z] [debug] 2025-11-29T03:17:55.105Z | DEBUG : [Navigation] Current route name: SettingsStack | raw: ["[Navigation] Current route name:","SettingsStack"]
[2025-11-29T03:17:55.030Z] [debug] 2025-11-29T03:17:55.030Z | DEBUG : [Navigation] Previous route name: Calendar | raw: ["[Navigation] Previous route name:","Calendar"]
[2025-11-29T03:17:34.613Z] [debug] 2025-11-29T03:17:34.613Z | DEBUG : [Database] Finished retrieving all records in Tombstone table | raw: ["[Database] Finished retrieving all records in Tombstone table"]
[2025-11-29T03:17:34.606Z] [debug] 2025-11-29T03:17:34.606Z | DEBUG : [Database] Retrieving all records in Tombstone table: 0 records found | raw: ["[Database] Retrieving all records in Tombstone table: 0 records found"]
[2025-11-29T03:17:34.591Z] [debug] 2025-11-29T03:17:34.591Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
[2025-11-29T03:17:34.577Z] [debug] 2025-11-29T03:17:34.577Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found"]
