# BBBLogs.txt
[2026-02-08T13:45:30.731Z] [debug] 2026-02-08T13:45:30.731Z | DEBUG : [Database] Finished retrieving all records in ActivityGroup table | raw: ["[Database] Finished retrieving all records in ActivityGroup table"]
[2026-02-08T13:45:30.729Z] [debug] 2026-02-08T13:45:30.729Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in ActivityGroup table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in ActivityGroup table: 6 records found"]
[2026-02-08T13:45:30.723Z] [debug] 2026-02-08T13:45:30.723Z | DEBUG : [Database] Finished retrieving all records in Activity table | raw: ["[Database] Finished retrieving all records in Activity table"]
[2026-02-08T13:45:30.721Z] [debug] 2026-02-08T13:45:30.721Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in Activity table: 63 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in Activity table: 63 records found"]
[2026-02-08T13:45:30.557Z] [debug] 2026-02-08T13:45:30.557Z | DEBUG : [MainAppNavigator] Rendering RootStack.Navigator with initialRouteName: BottomTabs | raw: ["[MainAppNavigator] Rendering RootStack.Navigator with initialRouteName:","BottomTabs"]
[2026-02-08T13:45:30.556Z] [info] 2026-02-08T13:45:30.556Z | INFO : [AutoBackup] hook mounted | raw: ["[AutoBackup] hook mounted"]
[2026-02-08T13:45:30.552Z] [debug] 2026-02-08T13:45:30.552Z | DEBUG : [Database] Finished retrieving all records in MedicationLog table | raw: ["[Database] Finished retrieving all records in MedicationLog table"]
[2026-02-08T13:45:30.550Z] [debug] 2026-02-08T13:45:30.550Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in MedicationLog table: 0 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in MedicationLog table: 0 records found"]
[2026-02-08T13:45:30.548Z] [debug] 2026-02-08T13:45:30.548Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
[2026-02-08T13:45:30.546Z] [debug] 2026-02-08T13:45:30.546Z | DEBUG : [Database] Retrieving all records in Encounter table: 60 records found | raw: ["[Database] Retrieving all records in Encounter table: 60 records found"]
[2026-02-08T13:45:30.544Z] [debug] 2026-02-08T13:45:30.544Z | DEBUG : [Database] Finished retrieving all records in Treatment table | raw: ["[Database] Finished retrieving all records in Treatment table"]
[2026-02-08T13:45:30.543Z] [debug] 2026-02-08T13:45:30.543Z | DEBUG : [Database] Retrieving all records in Treatment table: 0 records found | raw: ["[Database] Retrieving all records in Treatment table: 0 records found"]
[2026-02-08T13:45:30.541Z] [debug] 2026-02-08T13:45:30.541Z | DEBUG : [Database] Finished retrieving all records in TestTaken table | raw: ["[Database] Finished retrieving all records in TestTaken table"]
[2026-02-08T13:45:30.538Z] [debug] 2026-02-08T13:45:30.538Z | DEBUG : [Database] Retrieving all records in TestTaken table: 26 records found | raw: ["[Database] Retrieving all records in TestTaken table: 26 records found"]
[2026-02-08T13:45:30.419Z] [info] 2026-02-08T13:45:30.419Z | INFO : Navigating to route name: SupportRequest | raw: ["Navigating to route name: SupportRequest"]
[2026-02-08T13:45:30.416Z] [debug] 2026-02-08T13:45:30.416Z | DEBUG : [Navigation] Current route name: SupportRequest | raw: ["[Navigation] Current route name:","SupportRequest"]
[2026-02-08T13:45:30.413Z] [debug] 2026-02-08T13:45:30.413Z | DEBUG : [Navigation] Previous route name: FeedbackAndSupport | raw: ["[Navigation] Previous route name:","FeedbackAndSupport"]
[2026-02-08T13:45:26.743Z] [info] 2026-02-08T13:45:26.743Z | INFO : Navigating to route name: FeedbackAndSupport | raw: ["Navigating to route name: FeedbackAndSupport"]
[2026-02-08T13:45:26.741Z] [debug] 2026-02-08T13:45:26.741Z | DEBUG : [Navigation] Current route name: FeedbackAndSupport | raw: ["[Navigation] Current route name:","FeedbackAndSupport"]
[2026-02-08T13:45:26.736Z] [debug] 2026-02-08T13:45:26.736Z | DEBUG : [Navigation] Previous route name: Settings | raw: ["[Navigation] Previous route name:","Settings"]
[2026-02-08T13:45:20.027Z] [info] 2026-02-08T13:45:20.027Z | INFO : Navigating to route name: Settings | raw: ["Navigating to route name: Settings"]
[2026-02-08T13:45:20.023Z] [debug] 2026-02-08T13:45:20.023Z | DEBUG : [Navigation] Current route name: Settings | raw: ["[Navigation] Current route name:","Settings"]
[2026-02-08T13:45:20.017Z] [debug] 2026-02-08T13:45:20.017Z | DEBUG : [Navigation] Previous route name: DataManagement | raw: ["[Navigation] Previous route name:","DataManagement"]
[2026-02-08T13:45:16.663Z] [debug] 2026-02-08T13:45:16.663Z | DEBUG : [iCloud] Last backup: 2026-02-08T13:41:22.289Z | raw: ["[iCloud] Last backup:","2026-02-08T13:41:22.289Z"]
[2026-02-08T13:45:16.389Z] [info] 2026-02-08T13:45:16.389Z | INFO : Navigating to route name: DataManagement | raw: ["Navigating to route name: DataManagement"]
[2026-02-08T13:45:16.387Z] [debug] 2026-02-08T13:45:16.387Z | DEBUG : [Navigation] Current route name: DataManagement | raw: ["[Navigation] Current route name:","DataManagement"]
[2026-02-08T13:45:16.384Z] [debug] 2026-02-08T13:45:16.384Z | DEBUG : [Navigation] Previous route name: Calendar | raw: ["[Navigation] Previous route name:","Calendar"]
[2026-02-08T13:45:16.377Z] [debug] 2026-02-08T13:45:16.377Z | DEBUG : [iCloud] Getting remote last backup ISO | raw: ["[iCloud] Getting remote last backup ISO"]
[2026-02-08T13:45:14.958Z] [debug] 2026-02-08T13:45:14.958Z | DEBUG : [Database] Finished retrieving all records in ActivityGroup table | raw: ["[Database] Finished retrieving all records in ActivityGroup table"]
[2026-02-08T13:45:14.956Z] [debug] 2026-02-08T13:45:14.956Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in ActivityGroup table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in ActivityGroup table: 6 records found"]
[2026-02-08T13:45:14.950Z] [debug] 2026-02-08T13:45:14.950Z | DEBUG : [Database] Finished retrieving all records in Activity table | raw: ["[Database] Finished retrieving all records in Activity table"]
[2026-02-08T13:45:14.947Z] [debug] 2026-02-08T13:45:14.947Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in Activity table: 63 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in Activity table: 63 records found"]
[2026-02-08T13:45:14.771Z] [debug] 2026-02-08T13:45:14.771Z | DEBUG : [MainAppNavigator] Rendering RootStack.Navigator with initialRouteName: BottomTabs | raw: ["[MainAppNavigator] Rendering RootStack.Navigator with initialRouteName:","BottomTabs"]
[2026-02-08T13:45:14.769Z] [info] 2026-02-08T13:45:14.769Z | INFO : [AutoBackup] hook mounted | raw: ["[AutoBackup] hook mounted"]
[2026-02-08T13:45:14.766Z] [debug] 2026-02-08T13:45:14.766Z | DEBUG : [Database] Finished retrieving all records in MedicationLog table | raw: ["[Database] Finished retrieving all records in MedicationLog table"]
[2026-02-08T13:45:14.765Z] [debug] 2026-02-08T13:45:14.765Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in MedicationLog table: 0 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in MedicationLog table: 0 records found"]
[2026-02-08T13:45:14.764Z] [debug] 2026-02-08T13:45:14.764Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
